,Crude_birth_rate,Crude_death_rate,Fertility_rate,DPT_immu,HepB3_immu,Measles_immu,HIV_incidence,TB_incidence,Homicides_per100000,Life_expectancy,Physicians_per1000_people,Population_density,Overweight_prevalence
103,21.77,7.14,2.84,98.0,98.0,99.0,0.19,68.0,6.405792268262776,73.15,1.933047540983607,6.769825721376449,5.0777777777777775
104,28.748,5.469,3.492,92.0,92.0,89.0,0.97,292.0,4.9287280243,66.342,0.1565,90.29941666373827,5.0777777777777775
105,27.887,6.329,3.569,95.0,95.0,84.0,0.6182203389830511,349.0,6.405792268262776,68.116,1.933047540983607,143.02098765432098,5.0777777777777775
106,13.89,9.088,1.904,97.0,97.0,98.0,0.6182203389830511,513.0,6.405792268262776,72.095,1.933047540983607,212.19017523461505,5.0777777777777775
107,6.4,5.8,0.977,98.0,98.0,98.0,0.6182203389830511,66.0,0.60384939332,82.62682926829268,1.933047540983607,529.358501289308,5.0777777777777775
108,16.0,7.0,2.0,87.84767327986886,86.86502286138119,86.92359599156109,0.6182203389830511,102.9480861244019,2.3989300898,72.19512195121952,1.933047540983607,355.6913367941228,5.0777777777777775
109,13.939,2.696,2.082,91.0,91.0,98.0,0.6182203389830511,23.0,6.405792268262776,75.398,1.933047540983607,232.17239057239058,5.0777777777777775
110,27.1,5.2,3.3,94.0,94.0,96.0,0.15,116.0,2.1890776131,71.4,1.933047540983607,32.965589155370175,6.9
111,23.549,6.434,2.667,68.0,68.0,69.0,0.12,162.0,6.405792268262776,67.61,1.933047540983607,30.595784228769496,5.0777777777777775
112,10.0,15.0,1.6,96.0,96.0,98.0,0.19,29.0,4.3558049657,74.7829268292683,1.933047540983607,30.99347056931489,5.0777777777777775
113,17.545,4.356,2.087,83.0,80.0,82.0,0.03,11.0,2.4929265033,78.875,2.1038,669.4941348973607,5.0777777777777775
114,26.808,14.246,3.141,87.0,87.0,90.0,6.66,611.0,6.405792268262776,53.705,1.933047540983607,69.43781291172596,6.6
115,33.042,7.538,4.315,84.0,84.0,91.0,0.5,308.0,6.405792268262776,63.73,1.933047540983607,50.03090739202658,5.0777777777777775
116,18.829,5.095,2.24,73.0,73.0,73.0,0.07,40.0,6.405792268262776,72.724,1.933047540983607,3.7956323811905386,5.0777777777777775
117,9.9,7.2,1.58,87.84767327986886,86.86502286138119,86.92359599156109,0.6182203389830511,102.9480861244019,2.6372698982,83.04146341463417,1.933047540983607,236.9375,5.0777777777777775
118,10.0,14.1,1.63,92.0,93.0,92.0,0.09,44.0,4.5693560421,75.68048780487806,6.3528,44.7230757742448,5.0777777777777775
119,10.3,7.1,1.38,99.0,96.0,99.0,0.6182203389830511,8.0,6.405792268262776,82.29512195121951,1.933047540983607,250.1851851851852,5.0777777777777775
120,11.058,3.939,1.217,87.84767327986886,86.86502286138119,86.92359599156109,0.6182203389830511,60.0,0.3166395676,84.118,1.933047540983607,20777.50026072325,5.0777777777777775
121,32.657,6.055,4.077,75.0,75.0,62.0,0.22,233.0,6.405792268262776,66.681,1.933047540983607,45.13985562048814,1.4
122,34.118,6.597,4.209,92.0,92.0,87.0,2.13,181.0,6.405792268262776,63.798,0.0358,192.44076156130674,2.5
123,16.752,5.09,2.001,99.0,99.0,96.0,0.18,92.0,6.405792268262776,75.997,1.933047540983607,95.96282148835793,5.0777777777777775
124,14.199,2.814,1.87,99.0,99.0,99.0,0.6182203389830511,33.0,6.405792268262776,78.627,4.5627,1718.9866666666667,5.0777777777777775
125,41.543,9.686,5.877,77.0,77.0,70.0,0.6182203389830511,53.0,6.405792268262776,58.893,0.1286,15.635015858186021,2.0
126,9.2,7.6,1.23,97.0,98.0,96.0,0.6182203389830511,14.0,1.5936073579,82.4487804878049,1.933047540983607,1514.46875,5.0777777777777775
127,19.470302335433498,7.61479427962278,2.625965833807269,81.0,84.0,83.0,0.6182203389830511,434.0,6.405792268262776,72.76090832407365,1.933047540983607,324.51666666666665,5.0777777777777775
128,33.694,7.222,4.561,81.0,81.0,78.0,0.6182203389830511,93.0,6.405792268262776,64.704,0.1865,4.272163578150772,1.5
129,10.2,8.5,1.41,97.0,97.0,99.0,0.56,13.0,2.9198600992,74.41634146341464,2.5331,623.3019704433498,5.0777777777777775
130,17.602,6.01,2.129,88.0,55.0,97.0,0.6182203389830511,23.0,29.071061625,74.992,1.933047540983607,64.91462640500013,5.0777777777777775
131,22.82,6.564,3.053,75.0,83.0,73.0,0.6182203389830511,108.0,6.405792268262776,67.755,1.933047540983607,160.9142857142857,5.0777777777777775
132,10.1,11.61,1.262,93.0,94.0,93.0,0.24,86.0,4.0967929022,71.808,1.933047540983607,94.2644302783293,5.0777777777777775
133,5.9,6.6,2.625965833807269,99.0,99.0,88.0,0.6182203389830511,0.0,6.405792268262776,72.76090832407365,1.933047540983607,355.6913367941228,5.0777777777777775
